bench,function,src,pct,total_sample,max_sample,entry_sample
500.perlbench_r,S_regmatch,,21.44,12107855,36068,36068
500.perlbench_r,Perl_yyparse,,9.91,5598124,14781,13416
500.perlbench_r,Perl_re_op_compile,,9.00,5080596,155055,217
500.perlbench_r,Perl_yylex,,4.27,2408895,7827,96
500.perlbench_r,Perl_leave_scope,,4.13,2332902,13062,28
500.perlbench_r,Perl_hv_common,,3.58,2019301,26736,3125
500.perlbench_r,Perl_sv_setsv_flags,,2.84,1606195,2895,2584
500.perlbench_r,Perl_sv_clear,,2.40,1356862,4730,4730
500.perlbench_r,Perl_sv_upgrade,,2.31,1304225,5591,4065
500.perlbench_r,S_pad_findlex,,2.11,1191655,31926,1
500.perlbench_r,Perl_rpeep,,1.90,1072404,4633,43
500.perlbench_r,Perl_regexec_flags,,1.72,973568,2528,52
500.perlbench_r,S_make_trie,,1.72,971826,52572,174
500.perlbench_r,Perl_Slab_Alloc,,1.49,842545,4230,3742
500.perlbench_r,Perl_sv_gets,,1.36,765857,20928,596
500.perlbench_r,Perl_pp_match,,1.27,718006,1366,1111
500.perlbench_r,Perl_sv_grow,,1.02,577926,3041,2651
500.perlbench_r,Perl_sv_catpvn_flags,,0.88,496946,2906,97
500.perlbench_r,Perl_pp_entersub,,0.78,443182,723,719
500.perlbench_r,S_scan_str,,0.70,393686,2157,1753
