bench,function,src,pct,total_sample,max_sample,entry_sample
502.gcc_r,ggc_alloc_stat,,8.29,2560,16,16
502.gcc_r,init_optabs,,7.79,2405,14,1
502.gcc_r,recog_32,,5.02,1551,5,3
502.gcc_r,ix86_init_mmx_sse_builtins,,4.71,1453,1,1
502.gcc_r,init_regs,,4.34,1340,14,1
502.gcc_r,rtd_divmod,,2.93,906,6,3
502.gcc_r,ira_init,,2.92,900,11,1
502.gcc_r,constrain_operands,,2.65,819,6,2
502.gcc_r,decl_attributes,,2.59,801,2,2
502.gcc_r,do_multiply,,2.42,748,5,5
502.gcc_r,ht_lookup,,2.22,686,6,1
502.gcc_r,div_significands,,2.19,675,10,1
502.gcc_r,remove_unused_locals,,1.68,519,9,1
502.gcc_r,bitmap_set_bit,,1.66,514,4,4
502.gcc_r,c_builtin_function,,1.65,509,4,3
502.gcc_r,normalize,,1.47,453,5,5
502.gcc_r,record_reg_classes,,1.43,441,2,2
502.gcc_r,ht_lookup_with_hash,,1.37,422,3,2
502.gcc_r,do_add,,1.30,400,6,4
502.gcc_r,override_options,,1.26,388,1,1
