bench,function,src,pct,total_sample,max_sample,entry_sample
510.parest_r,precondition_SSOR<double>,,19.66,9807702,52201,5161
510.parest_r,vmult<double>,,18.23,9094852,153325,104124
510.parest_r,operator*<double>,,17.02,8490908,119422,163
510.parest_r,vmult<dealii::Vector<double>, dealii::Vector<double> >,,15.19,7577813,246991,3380
510.parest_r,solve<dealii::SparseMatrix<double>, dealii::SparseILU<double> >,,5.03,2506757,18237,13
510.parest_r,block_build_matrix_and_rhs_threaded<3>,,3.80,1893974,5818,5818
510.parest_r,operator(),,3.12,1554087,21425,1
510.parest_r,assemble_matrix,,2.68,1337717,9014,2382
510.parest_r,condense,,2.12,1055701,5527,782
510.parest_r,add_entries_local_to_global<dealii::BlockCompressedSetSparsityPattern>,,2.10,1046872,9162,341
510.parest_r,l2_norm,,1.34,668985,10430,1
510.parest_r,condense<double, dealii::BlockVector<double> >,,0.99,491495,1125,652
510.parest_r,copy_local_to_global_matrix,,0.83,413142,4304,1265
510.parest_r,_M_erase,,0.79,393147,6790,5711
510.parest_r,matrix_position,,0.76,378237,7971,762
510.parest_r,build_rhs_1,,0.66,329791,982,982
510.parest_r,compute_inverse_norm_matrix,,0.56,281594,6077,2780
510.parest_r,__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int *, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>,,0.55,273082,4972,55
510.parest_r,decompose<double>,,0.35,173085,3699,1909
510.parest_r,copy_from,,0.33,163797,3959,124
