bench,function,src,pct,total_sample,max_sample,entry_sample
520.omnetpp_r,removeFirst,,28.83,4568302,42879,1232
520.omnetpp_r,deliver,,10.70,1694985,12782,3352
520.omnetpp_r,sendDelayed,,5.12,810735,5163,645
520.omnetpp_r,gate,,2.69,426801,1854,1400
520.omnetpp_r,printState,,2.50,395947,3560,1
520.omnetpp_r,handleMessage,,2.18,346148,3208,2138
520.omnetpp_r,findGateDesc,,2.08,329293,2122,2117
520.omnetpp_r,cPacket,,2.07,327748,1433,1
520.omnetpp_r,doInsert,,1.96,310938,4236,4236
520.omnetpp_r,recordWithTimestamp,,1.92,304794,2887,1169
520.omnetpp_r,doOneEvent,,1.91,302507,2251,1935
520.omnetpp_r,getPerObjectConfigEntry,,1.77,281019,2819,89
520.omnetpp_r,checkTimeLimits,,1.66,262485,2228,1
520.omnetpp_r,removeAgedEntriesFromTable,,1.45,229360,3299,3291
520.omnetpp_r,processReceivedDataFrame,,1.26,199244,1472,1472
520.omnetpp_r,insert,,1.09,172111,1376,474
520.omnetpp_r,init,,1.06,167169,740,159
520.omnetpp_r,~cMessage,,0.99,157180,2048,1
520.omnetpp_r,EtherFrameWithLLC,,0.97,153321,1508,1
520.omnetpp_r,handleEndIFGPeriod,,0.92,146125,1430,322
