bench,function,src,pct,total_sample,max_sample,entry_sample
523.xalancbmk_r,destroyObject,,37.50,171345,1996,1996
523.xalancbmk_r,release,,28.23,128984,2635,1
523.xalancbmk_r,insert,,6.48,29589,744,1
523.xalancbmk_r,executeMore,,2.33,10634,46,1
523.xalancbmk_r,doPushBack,,1.95,8902,30,1
523.xalancbmk_r,equals,,1.48,6780,166,1
523.xalancbmk_r,findEntry,,1.46,6652,27,27
523.xalancbmk_r,startElement,,1.26,5750,29,1
523.xalancbmk_r,execute,,0.95,4346,14,1
523.xalancbmk_r,allocateBlock,,0.86,3912,18,1
523.xalancbmk_r,XalanVector,,0.83,3784,19,5
523.xalancbmk_r,append,,0.72,3283,28,1
523.xalancbmk_r,runFunction,,0.71,3259,11,11
523.xalancbmk_r,round,,0.69,3170,28,26
523.xalancbmk_r,doReturnObject,,0.61,2772,33,33
523.xalancbmk_r,findXObject,,0.57,2609,29,22
523.xalancbmk_r,popContextMarker,,0.48,2173,26,15
523.xalancbmk_r,transcodeFrom,,0.44,2020,53,1
523.xalancbmk_r,create,,0.39,1794,18,1
523.xalancbmk_r,getVariable,,0.38,1727,17,1
