bench,function,src,pct,total_sample,max_sample,entry_sample
531.deepsjeng_r,search,,27.89,17817701,21081,21081
531.deepsjeng_r,qsearch,,26.34,16832630,32687,32687
531.deepsjeng_r,feval,,17.16,10961617,6684,4351
531.deepsjeng_r,eval,,7.09,4531734,37223,16536
531.deepsjeng_r,RookAttacks,,5.43,3467864,30422,30418
531.deepsjeng_r,order_moves,,4.64,2965944,14320,12669
531.deepsjeng_r,BishopAttacks,,4.02,2569792,23797,23793
531.deepsjeng_r,gen_captures,,1.93,1232085,6009,121
531.deepsjeng_r,gen,,1.92,1229572,6341,145
531.deepsjeng_r,static_pawn_eval,,1.03,656838,3115,117
531.deepsjeng_r,gen_good_checks,,0.87,558842,2654,983
531.deepsjeng_r,gen_quiet,,0.70,448672,2264,34
531.deepsjeng_r,gen_check_blocks,,0.49,310533,1281,755
531.deepsjeng_r,sum_dist,,0.32,201390,4795,4795
531.deepsjeng_r,gen_evasions,,0.14,86661,1137,1120
531.deepsjeng_r,taxicab_dist_bit,,0.04,23895,531,531
