bench,function,src,pct,total_sample,max_sample,entry_sample
541.leela_r,play_random_move,,12.73,6953138,27726,6412
541.leela_r,get_pattern_fast_augment,,10.58,5777564,21086,21086
541.leela_r,self_atari,,9.18,5012109,33842,25476
541.leela_r,randint,,7.60,4152435,39547,39547
541.leela_r,update_board_fast,,6.95,3795594,9801,7302
541.leela_r,walk_empty_list,,6.39,3489703,34274,7
541.leela_r,uct_select_child,,5.84,3192626,19537,17399
541.leela_r,no_eye_fill,,5.12,2798456,36394,27082
541.leela_r,get_pattern3_augment_spec,,5.08,2773146,2778,2484
541.leela_r,add_neighbour,,4.28,2339211,9420,9420
541.leela_r,fast_ss_suicide,,4.15,2265429,26301,26068
541.leela_r,save_critical_neighbours,,3.74,2045755,28806,2379
541.leela_r,kill_neighbours,,2.84,1550217,7409,378
541.leela_r,nbr_criticality,,2.33,1275264,5248,5248
541.leela_r,run,,1.57,855754,9702,9036
541.leela_r,remove_neighbour,,1.49,815120,3352,3352
541.leela_r,add_string_liberties<3>,,1.49,811586,8644,1386
541.leela_r,get_Rng,,1.30,711720,39540,1
541.leela_r,update,,1.08,587915,12141,105
541.leela_r,update_board_eye,,1.04,567931,1562,452
