bench,function,src,pct,total_sample,max_sample,entry_sample
600.perlbench_s,S_regmatch,,21.68,12263611,36131,36131
600.perlbench_s,Perl_yyparse,,9.89,5594309,14784,13500
600.perlbench_s,Perl_re_op_compile,,9.09,5140295,157249,229
600.perlbench_s,Perl_yylex,,4.23,2393805,7513,118
600.perlbench_s,Perl_leave_scope,,3.99,2256058,12726,31
600.perlbench_s,Perl_hv_common,,3.53,1996966,27912,3098
600.perlbench_s,Perl_sv_setsv_flags,,2.89,1632600,2812,2647
600.perlbench_s,Perl_sv_upgrade,,2.36,1337268,5854,4326
600.perlbench_s,Perl_sv_clear,,2.31,1304761,4633,4633
600.perlbench_s,S_pad_findlex,,2.15,1216798,33280,1
600.perlbench_s,Perl_rpeep,,1.86,1054185,4626,46
600.perlbench_s,Perl_regexec_flags,,1.74,985997,2468,47
600.perlbench_s,S_make_trie,,1.73,979607,53208,167
600.perlbench_s,Perl_Slab_Alloc,,1.58,893307,4519,3913
600.perlbench_s,Perl_sv_gets,,1.34,755101,20500,616
600.perlbench_s,Perl_pp_match,,1.33,750473,1346,1274
600.perlbench_s,Perl_sv_grow,,1.07,606758,3239,2814
600.perlbench_s,Perl_sv_catpvn_flags,,0.89,501230,3006,81
600.perlbench_s,Perl_pp_entersub,,0.75,426423,706,706
600.perlbench_s,S_scan_str,,0.69,391740,2217,1798
