bench,function,src,pct,total_sample,max_sample,entry_sample
602.gcc_s,ggc_alloc_stat,,13.81,3691,17,17
602.gcc_s,init_optabs,,8.88,2374,14,1
602.gcc_s,find_reloads,,3.58,957,2,1
602.gcc_s,ira_init,,3.03,809,6,1
602.gcc_s,constrain_operands,,2.57,688,4,2
602.gcc_s,cleanup_cfg,,2.57,687,2,1
602.gcc_s,div_significands,,2.56,684,9,1
602.gcc_s,ht_lookup,,2.23,596,5,1
602.gcc_s,recog_32,,2.15,575,3,2
602.gcc_s,normalize,,2.09,558,11,3
602.gcc_s,build_common_tree_nodes_2,,2.08,556,1,1
602.gcc_s,general_operand,,2.07,552,5,5
602.gcc_s,copyprop_hardreg_forward,,1.76,471,3,1
602.gcc_s,c_builtin_function,,1.74,464,2,2
602.gcc_s,decl_attributes,,1.53,410,2,2
602.gcc_s,rtd_divmod,,1.47,392,3,1
602.gcc_s,do_add,,1.34,359,4,3
602.gcc_s,gimple_merge_blocks,,1.34,357,1,1
602.gcc_s,ht_lookup_with_hash,,1.28,342,2,2
602.gcc_s,bitmap_bit_p,,1.25,334,7,5
