bench,function,src,pct,total_sample,max_sample,entry_sample
620.omnetpp_s,removeFirst,,30.50,4474788,42019,1248
620.omnetpp_s,deliver,,9.47,1389983,10561,2709
620.omnetpp_s,sendDelayed,,4.74,696091,4293,588
620.omnetpp_s,gate,,2.52,369348,1559,1285
620.omnetpp_s,printState,,2.32,340288,2977,1
620.omnetpp_s,cPacket,,2.20,322489,1404,1
620.omnetpp_s,handleMessage,,2.04,299646,2608,1803
620.omnetpp_s,getPerObjectConfigEntry,,1.96,287803,2969,78
620.omnetpp_s,findGateDesc,,1.95,286065,1804,1799
620.omnetpp_s,recordWithTimestamp,,1.94,285095,2624,1132
620.omnetpp_s,doOneEvent,,1.92,281563,2236,1564
620.omnetpp_s,doInsert,,1.88,275352,3782,3782
620.omnetpp_s,checkTimeLimits,,1.79,262085,2209,1
620.omnetpp_s,removeAgedEntriesFromTable,,1.36,199597,2889,2869
620.omnetpp_s,processReceivedDataFrame,,1.31,192067,1478,1478
620.omnetpp_s,insert,,1.05,154747,1285,382
620.omnetpp_s,init,,1.04,152462,658,153
620.omnetpp_s,handleEndIFGPeriod,,1.00,146501,1418,231
620.omnetpp_s,EtherFrameWithLLC,,0.97,142275,1492,1
620.omnetpp_s,~cMessage,,0.94,137773,1811,1
