bench,function,src,pct,total_sample,max_sample,entry_sample
623.xalancbmk_s,destroyObject,,40.08,190091,2182,2182
623.xalancbmk_s,release,,26.19,124218,2517,1
623.xalancbmk_s,insert,,6.63,31448,878,1
623.xalancbmk_s,equals,,2.35,11137,286,1
623.xalancbmk_s,executeMore,,2.16,10225,47,1
623.xalancbmk_s,findEntry,,1.90,9003,35,35
623.xalancbmk_s,doPushBack,,1.79,8503,25,1
623.xalancbmk_s,startElement,,1.13,5349,16,1
623.xalancbmk_s,execute,,0.94,4468,12,1
623.xalancbmk_s,XalanVector,,0.76,3581,25,8
623.xalancbmk_s,runFunction,,0.75,3578,13,13
623.xalancbmk_s,append,,0.69,3296,28,1
623.xalancbmk_s,findXObject,,0.69,3281,36,32
623.xalancbmk_s,doReturnObject,,0.68,3227,37,37
623.xalancbmk_s,round,,0.60,2862,25,25
623.xalancbmk_s,allocateBlock,,0.59,2801,11,1
623.xalancbmk_s,transcodeFrom,,0.48,2280,60,1
623.xalancbmk_s,getHashVal,,0.47,2221,68,1
623.xalancbmk_s,getVariable,,0.37,1748,17,1
623.xalancbmk_s,get,,0.35,1677,11,10
