bench,function,src,pct,total_sample,max_sample,entry_sample
631.deepsjeng_s,search,,29.31,17249022,19710,19710
631.deepsjeng_s,qsearch,,25.56,15045944,30547,30547
631.deepsjeng_s,feval,,16.79,9881847,5420,3523
631.deepsjeng_s,eval,,7.23,4253967,35458,15845
631.deepsjeng_s,RookAttacks,,5.34,3140472,27548,27548
631.deepsjeng_s,order_moves,,4.54,2669970,12671,11407
631.deepsjeng_s,BishopAttacks,,3.96,2328264,21558,21558
631.deepsjeng_s,gen,,1.91,1122643,5977,142
631.deepsjeng_s,gen_captures,,1.84,1081669,5361,125
631.deepsjeng_s,static_pawn_eval,,1.00,590624,2817,85
631.deepsjeng_s,gen_good_checks,,0.88,516601,2413,920
631.deepsjeng_s,gen_quiet,,0.70,411706,2041,41
631.deepsjeng_s,gen_check_blocks,,0.49,286279,1221,782
631.deepsjeng_s,sum_dist,,0.30,176442,4201,4201
631.deepsjeng_s,gen_evasions,,0.13,77748,980,950
631.deepsjeng_s,taxicab_dist_bit,,0.03,19710,438,438
