bench,function,src,pct,total_sample,max_sample,entry_sample
641.leela_s,play_random_move,,12.50,6830115,27574,6636
641.leela_s,get_pattern_fast_augment,,10.29,5621658,20517,20517
641.leela_s,self_atari,,9.17,5010988,33258,24976
641.leela_s,randint,,7.66,4186140,39868,39868
641.leela_s,update_board_fast,,7.12,3887096,10142,7514
641.leela_s,walk_empty_list,,6.43,3511897,34538,18
641.leela_s,uct_select_child,,5.90,3225483,19689,17570
641.leela_s,no_eye_fill,,5.17,2822308,36708,27340
641.leela_s,get_pattern3_augment_spec,,4.90,2676984,2710,2394
641.leela_s,add_neighbour,,4.41,2411857,9731,9731
641.leela_s,fast_ss_suicide,,4.16,2272419,26439,26359
641.leela_s,save_critical_neighbours,,3.76,2054967,28696,2431
641.leela_s,kill_neighbours,,2.89,1576941,7517,371
641.leela_s,nbr_criticality,,2.30,1257525,5175,5175
641.leela_s,run,,1.60,876523,10116,9480
641.leela_s,remove_neighbour,,1.52,832944,3451,3451
641.leela_s,add_string_liberties<3>,,1.49,814193,8822,1350
641.leela_s,get_Rng,,1.30,711550,39531,1
641.leela_s,update,,1.15,630837,13139,83
641.leela_s,update_board_eye,,1.05,571223,1592,448
