benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
657.xz_s,ln02,NoGVN,,,,greedy,exec_time,7070.2289,1,PASS
657.xz_s,ln02,NoGVN,,,,greedy,compile_time,6.4678,1,PASS
657.xz_s,ln02,NoGVN,,,,greedy,size..text,123828,1,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,exec_time,2435.9666,1,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,compile_time,0.38160000000000005,1,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,size..text,9388,1,PASS
510.parest_r,ln02,NoGVN,,,,greedy,exec_time,2090.2648,1,PASS
510.parest_r,ln02,NoGVN,,,,greedy,compile_time,532.2557999999999,1,PASS
510.parest_r,ln02,NoGVN,,,,greedy,size..text,7292564,1,PASS
511.povray_r,ln02,NoGVN,,,,greedy,exec_time,2085.1787,1,PASS
511.povray_r,ln02,NoGVN,,,,greedy,compile_time,32.7582,1,PASS
511.povray_r,ln02,NoGVN,,,,greedy,size..text,750668,1,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,exec_time,1813.4693,1,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,compile_time,1.1068,1,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,size..text,22644,1,PASS
602.gcc_s,ln02,NoGVN,,,,greedy,exec_time,1633.1751000000002,1,PASS
602.gcc_s,ln02,NoGVN,,,,greedy,compile_time,255.68370000000004,1,PASS
602.gcc_s,ln02,NoGVN,,,,greedy,size..text,7367516,1,PASS
544.nab_r,ln02,NoGVN,,,,greedy,exec_time,1617.5051,1,PASS
544.nab_r,ln02,NoGVN,,,,greedy,compile_time,4.9578999999999995,1,PASS
544.nab_r,ln02,NoGVN,,,,greedy,size..text,164612,1,PASS
500.perlbench_r,ln02,NoGVN,,,,greedy,exec_time,1579.3944,1,PASS
500.perlbench_r,ln02,NoGVN,,,,greedy,compile_time,51.668999999999976,1,PASS
500.perlbench_r,ln02,NoGVN,,,,greedy,size..text,1684772,1,PASS
600.perlbench_s,ln02,NoGVN,,,,greedy,exec_time,1580.1551,1,PASS
600.perlbench_s,ln02,NoGVN,,,,greedy,compile_time,52.064000000000014,1,PASS
600.perlbench_s,ln02,NoGVN,,,,greedy,size..text,1684772,1,PASS
620.omnetpp_s,ln02,NoGVN,,,,greedy,exec_time,1435.6513,1,PASS
620.omnetpp_s,ln02,NoGVN,,,,greedy,compile_time,121.40649999999997,1,PASS
620.omnetpp_s,ln02,NoGVN,,,,greedy,size..text,1276820,1,PASS
520.omnetpp_r,ln02,NoGVN,,,,greedy,exec_time,1431.9788,1,PASS
520.omnetpp_r,ln02,NoGVN,,,,greedy,compile_time,121.97560000000006,1,PASS
520.omnetpp_r,ln02,NoGVN,,,,greedy,size..text,1276820,1,PASS
538.imagick_r,ln02,NoGVN,,,,greedy,exec_time,1424.6371,1,PASS
538.imagick_r,ln02,NoGVN,,,,greedy,compile_time,42.8598,1,PASS
538.imagick_r,ln02,NoGVN,,,,greedy,size..text,1471156,1,PASS
541.leela_r,ln02,NoGVN,,,,greedy,exec_time,1226.5049,1,PASS
541.leela_r,ln02,NoGVN,,,,greedy,compile_time,13.992300000000002,1,PASS
541.leela_r,ln02,NoGVN,,,,greedy,size..text,115700,1,PASS
641.leela_s,ln02,NoGVN,,,,greedy,exec_time,1226.768,1,PASS
641.leela_s,ln02,NoGVN,,,,greedy,compile_time,14.064999999999998,1,PASS
641.leela_s,ln02,NoGVN,,,,greedy,size..text,115700,1,PASS
631.deepsjeng_s,ln02,NoGVN,,,,greedy,exec_time,1039.421,1,PASS
631.deepsjeng_s,ln02,NoGVN,,,,greedy,compile_time,3.0056000000000003,1,PASS
631.deepsjeng_s,ln02,NoGVN,,,,greedy,size..text,72948,1,PASS
526.blender_r,ln02,NoGVN,,,,greedy,exec_time,1020.3843,1,PASS
526.blender_r,ln02,NoGVN,,,,greedy,compile_time,319.4944,1,PASS
526.blender_r,ln02,NoGVN,,,,greedy,size..text,7851760,1,PASS
557.xz_r,ln02,NoGVN,,,,greedy,exec_time,1040.2535,1,PASS
557.xz_r,ln02,NoGVN,,,,greedy,compile_time,6.4556000000000004,1,PASS
557.xz_r,ln02,NoGVN,,,,greedy,size..text,123828,1,PASS
623.xalancbmk_s,ln02,NoGVN,,,,greedy,exec_time,993.441,1,PASS
623.xalancbmk_s,ln02,NoGVN,,,,greedy,compile_time,269.7140999999997,1,PASS
623.xalancbmk_s,ln02,NoGVN,,,,greedy,size..text,2909508,1,PASS
523.xalancbmk_r,ln02,NoGVN,,,,greedy,exec_time,992.5609,1,PASS
523.xalancbmk_r,ln02,NoGVN,,,,greedy,compile_time,269.43779999999964,1,PASS
523.xalancbmk_r,ln02,NoGVN,,,,greedy,size..text,2909508,1,PASS
505.mcf_r,ln02,NoGVN,,,,greedy,exec_time,929.8933,1,PASS
505.mcf_r,ln02,NoGVN,,,,greedy,compile_time,1.1056,1,PASS
505.mcf_r,ln02,NoGVN,,,,greedy,size..text,22644,1,PASS
531.deepsjeng_r,ln02,NoGVN,,,,greedy,exec_time,892.1101,1,PASS
531.deepsjeng_r,ln02,NoGVN,,,,greedy,compile_time,2.9602,1,PASS
531.deepsjeng_r,ln02,NoGVN,,,,greedy,size..text,72948,1,PASS
502.gcc_r,ln02,NoGVN,,,,greedy,exec_time,871.6851,1,PASS
502.gcc_r,ln02,NoGVN,,,,greedy,compile_time,261.5802000000001,1,PASS
502.gcc_r,ln02,NoGVN,,,,greedy,size..text,7367516,1,PASS
519.lbm_r,ln02,NoGVN,,,,greedy,exec_time,762.5056,1,PASS
519.lbm_r,ln02,NoGVN,,,,greedy,compile_time,0.3405,1,PASS
519.lbm_r,ln02,NoGVN,,,,greedy,size..text,9356,1,PASS
525.x264_r,ln02,NoGVN,,,,greedy,exec_time,674.9588000000001,1,PASS
525.x264_r,ln02,NoGVN,,,,greedy,compile_time,8.041399999999998,1,PASS
525.x264_r,ln02,NoGVN,,,,greedy,size..text,464436,1,PASS
625.x264_s,ln02,NoGVN,,,,greedy,exec_time,674.6871,1,PASS
625.x264_s,ln02,NoGVN,,,,greedy,compile_time,8.039800000000003,1,PASS
625.x264_s,ln02,NoGVN,,,,greedy,size..text,464436,1,PASS
508.namd_r,ln02,NoGVN,,,,greedy,exec_time,614.2757,1,PASS
508.namd_r,ln02,NoGVN,,,,greedy,compile_time,22.218700000000002,1,PASS
508.namd_r,ln02,NoGVN,,,,greedy,size..text,582788,1,PASS
996.specrand_fs,ln02,NoGVN,,,,greedy,exec_time,0.2073,1,PASS
996.specrand_fs,ln02,NoGVN,,,,greedy,compile_time,0.0937,1,PASS
996.specrand_fs,ln02,NoGVN,,,,greedy,size..text,2268,1,PASS
997.specrand_fr,ln02,NoGVN,,,,greedy,exec_time,0.2073,1,PASS
997.specrand_fr,ln02,NoGVN,,,,greedy,compile_time,0.0928,1,PASS
997.specrand_fr,ln02,NoGVN,,,,greedy,size..text,2268,1,PASS
998.specrand_is,ln02,NoGVN,,,,greedy,exec_time,0.2168,1,PASS
998.specrand_is,ln02,NoGVN,,,,greedy,compile_time,0.0969,1,PASS
998.specrand_is,ln02,NoGVN,,,,greedy,size..text,2268,1,PASS
999.specrand_ir,ln02,NoGVN,,,,greedy,exec_time,0.1965,1,PASS
999.specrand_ir,ln02,NoGVN,,,,greedy,compile_time,0.0921,1,PASS
999.specrand_ir,ln02,NoGVN,,,,greedy,size..text,2268,1,PASS
657.xz_s,ln02,NoGVN,,,,greedy,exec_time,7073.9149,2,PASS
657.xz_s,ln02,NoGVN,,,,greedy,compile_time,6.4678,2,PASS
657.xz_s,ln02,NoGVN,,,,greedy,size..text,123828,2,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,exec_time,2436.8876,2,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,compile_time,0.38160000000000005,2,PASS
619.lbm_s,ln02,NoGVN,,,,greedy,size..text,9388,2,PASS
510.parest_r,ln02,NoGVN,,,,greedy,exec_time,2090.876,2,PASS
510.parest_r,ln02,NoGVN,,,,greedy,compile_time,532.2557999999999,2,PASS
510.parest_r,ln02,NoGVN,,,,greedy,size..text,7292564,2,PASS
511.povray_r,ln02,NoGVN,,,,greedy,exec_time,2085.0105,2,PASS
511.povray_r,ln02,NoGVN,,,,greedy,compile_time,32.7582,2,PASS
511.povray_r,ln02,NoGVN,,,,greedy,size..text,750668,2,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,exec_time,1808.1636,2,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,compile_time,1.1068,2,PASS
605.mcf_s,ln02,NoGVN,,,,greedy,size..text,22644,2,PASS
602.gcc_s,ln02,NoGVN,,,,greedy,exec_time,1633.5848,2,PASS
602.gcc_s,ln02,NoGVN,,,,greedy,compile_time,255.68370000000004,2,PASS
