benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,3480.5969,0,PASS
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,1.3807,0,PASS
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,size..text,16835,0,PASS
500.perlbench_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,675.383,0,PASS
500.perlbench_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,171.66559999999998,0,PASS
500.perlbench_r,legendre,NewGVN,1,0,opt,pbqp,size..text,1711388,0,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,681.6557,0,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,169.71580000000003,0,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,size..text,1711388,0,PASS
625.x264_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,287.9616,0,PASS
625.x264_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,53.02250000000001,0,PASS
625.x264_s,legendre,NewGVN,1,0,opt,pbqp,size..text,559520,0,PASS
525.x264_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,288.002,0,PASS
525.x264_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,54.1153,0,PASS
525.x264_r,legendre,NewGVN,1,0,opt,pbqp,size..text,559520,0,PASS
631.deepsjeng_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,588.9078,0,PASS
631.deepsjeng_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,10.8715,0,PASS
631.deepsjeng_s,legendre,NewGVN,1,0,opt,pbqp,size..text,77926,0,PASS
505.mcf_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,569.0092,0,PASS
505.mcf_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,3.7624000000000004,0,PASS
505.mcf_r,legendre,NewGVN,1,0,opt,pbqp,size..text,28376,0,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,1112.5668,0,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,3.7742,0,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,size..text,28376,0,PASS
557.xz_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,512.5701,0,PASS
557.xz_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,20.89330000000001,0,PASS
557.xz_r,legendre,NewGVN,1,0,opt,pbqp,size..text,135928,0,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,3238.5657,0,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,20.75289999999999,0,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,size..text,135928,0,PASS
531.deepsjeng_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,454.8116,0,PASS
531.deepsjeng_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,10.780599999999998,0,PASS
531.deepsjeng_r,legendre,NewGVN,1,0,opt,pbqp,size..text,77926,0,PASS
541.leela_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,625.5006,0,PASS
541.leela_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,50.59189999999999,0,PASS
541.leela_r,legendre,NewGVN,1,0,opt,pbqp,size..text,134518,0,PASS
508.namd_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,392.8295,0,PASS
508.namd_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,72.9467,0,PASS
508.namd_r,legendre,NewGVN,1,0,opt,pbqp,size..text,980585,0,PASS
641.leela_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,624.3229,0,PASS
641.leela_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,50.69570000000001,0,PASS
641.leela_s,legendre,NewGVN,1,0,opt,pbqp,size..text,134518,0,PASS
510.parest_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,595.111,0,PASS
510.parest_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,1976.2328999999988,0,PASS
510.parest_r,legendre,NewGVN,1,0,opt,pbqp,size..text,8903105,0,PASS
520.omnetpp_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,550.8249,0,PASS
520.omnetpp_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,468.7642999999998,0,PASS
520.omnetpp_r,legendre,NewGVN,1,0,opt,pbqp,size..text,1294743,0,PASS
620.omnetpp_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,552.8065,0,PASS
620.omnetpp_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,461.2140999999999,0,PASS
620.omnetpp_s,legendre,NewGVN,1,0,opt,pbqp,size..text,1294743,0,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,688.492,0,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,1.3809,0,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,size..text,16787,0,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,886.3961,0,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,16.501,0,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,size..text,202328,0,PASS
526.blender_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,436.7074,0,PASS
526.blender_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,1178.4320000000027,0,PASS
526.blender_r,legendre,NewGVN,1,0,opt,pbqp,size..text,8976808,0,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,845.6451,0,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,123.17669999999998,0,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,size..text,966308,0,PASS
523.xalancbmk_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,439.821,0,PASS
523.xalancbmk_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,941.3145000000002,0,PASS
523.xalancbmk_r,legendre,NewGVN,1,0,opt,pbqp,size..text,2992613,0,PASS
623.xalancbmk_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,453.2181,0,PASS
623.xalancbmk_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,927.5809999999993,0,PASS
623.xalancbmk_s,legendre,NewGVN,1,0,opt,pbqp,size..text,2992613,0,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,747.1173000000001,0,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,939.9176999999999,0,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,size..text,7029316,0,PASS
502.gcc_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,404.298,0,PASS
502.gcc_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,944.1991999999995,0,PASS
502.gcc_r,legendre,NewGVN,1,0,opt,pbqp,size..text,7029316,0,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,797.6204,0,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,171.62559999999996,0,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,size..text,1810809,0,PASS
996.specrand_fs,legendre,NewGVN,1,0,opt,pbqp,exec_time,0.0755,0,PASS
996.specrand_fs,legendre,NewGVN,1,0,opt,pbqp,compile_time,0.22899999999999998,0,PASS
996.specrand_fs,legendre,NewGVN,1,0,opt,pbqp,size..text,2326,0,PASS
998.specrand_is,legendre,NewGVN,1,0,opt,pbqp,exec_time,0.0839,0,PASS
998.specrand_is,legendre,NewGVN,1,0,opt,pbqp,compile_time,0.2706,0,PASS
998.specrand_is,legendre,NewGVN,1,0,opt,pbqp,size..text,2326,0,PASS
997.specrand_fr,legendre,NewGVN,1,0,opt,pbqp,exec_time,0.0764,0,PASS
997.specrand_fr,legendre,NewGVN,1,0,opt,pbqp,compile_time,0.2901,0,PASS
997.specrand_fr,legendre,NewGVN,1,0,opt,pbqp,size..text,2326,0,PASS
999.specrand_ir,legendre,NewGVN,1,0,opt,pbqp,exec_time,0.083,0,PASS
999.specrand_ir,legendre,NewGVN,1,0,opt,pbqp,compile_time,0.2713,0,PASS
999.specrand_ir,legendre,NewGVN,1,0,opt,pbqp,size..text,2326,0,PASS
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,3480.5032,1,PASS
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,1.3807,1,PASS
619.lbm_s,legendre,NewGVN,1,0,opt,pbqp,size..text,16835,1,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,3337.3050000000003,1,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,20.75289999999999,1,PASS
657.xz_s,legendre,NewGVN,1,0,opt,pbqp,size..text,135928,1,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,1110.8055,1,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,3.7742,1,PASS
605.mcf_s,legendre,NewGVN,1,0,opt,pbqp,size..text,28376,1,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,887.1343,1,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,16.501,1,PASS
544.nab_r,legendre,NewGVN,1,0,opt,pbqp,size..text,202328,1,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,856.4336,1,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,123.17669999999998,1,PASS
511.povray_r,legendre,NewGVN,1,0,opt,pbqp,size..text,966308,1,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,807.3972,1,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,171.62559999999996,1,PASS
538.imagick_r,legendre,NewGVN,1,0,opt,pbqp,size..text,1810809,1,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,745.7936,1,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,939.9176999999999,1,PASS
602.gcc_s,legendre,NewGVN,1,0,opt,pbqp,size..text,7029316,1,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,exec_time,689.8734,1,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,compile_time,1.3809,1,PASS
519.lbm_r,legendre,NewGVN,1,0,opt,pbqp,size..text,16787,1,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,exec_time,687.2994,1,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,compile_time,169.71580000000003,1,PASS
600.perlbench_s,legendre,NewGVN,1,0,opt,pbqp,size..text,1711388,1,PASS
