benchmark,machine,variant,regalloc,gvn_time_s,total_opt_time_s,gvn_pct
500.perlbench_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,8.328800,0.00
502.gcc_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,39.776500,0.00
505.mcf_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.192900,0.00
508.namd_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,3.505800,0.00
510.parest_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,61.835800,0.00
511.povray_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.005100,4.691600,0.11
519.lbm_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.052700,0.00
520.omnetpp_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,9.370400,0.00
523.xalancbmk_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,25.382600,0.00
525.x264_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.005000,2.459400,0.20
526.blender_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.005000,52.537900,0.01
531.deepsjeng_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.398300,0.00
538.imagick_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.005100,8.394800,0.06
541.leela_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.764600,0.00
544.nab_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.868400,0.00
557.xz_r,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,1.073100,0.00
600.perlbench_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,8.377800,0.00
602.gcc_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,39.800600,0.00
605.mcf_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.164300,0.00
619.lbm_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.052600,0.00
620.omnetpp_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,9.190100,0.00
623.xalancbmk_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,25.186800,0.00
625.x264_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.005000,2.507700,0.20
631.deepsjeng_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.426300,0.00
638.imagick_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.005000,8.352600,0.06
641.leela_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.762900,0.00
644.nab_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.890500,0.00
657.xz_s,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.993600,0.00
996.specrand_fs,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.021300,0.00
997.specrand_fr,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.022100,0.00
998.specrand_is,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.018600,0.00
999.specrand_ir,ns3978931,GVNPRE-s1-p0-fast,fast,0.000000,0.018700,0.00
500.perlbench_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,9.304700,0.00
502.gcc_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,42.398400,0.00
505.mcf_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,0.204200,0.00
508.namd_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,4.648600,0.00
510.parest_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,63.906400,0.00
511.povray_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.005000,4.984300,0.10
519.lbm_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,0.056500,0.00
520.omnetpp_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,10.006900,0.00
523.xalancbmk_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,26.340800,0.00
525.x264_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.005000,2.676700,0.19
526.blender_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.005000,56.143000,0.01
531.deepsjeng_r,ns3978931,GVNPRE-s1-p0-greedy,greedy,0.000000,0.465700,0.00
