benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,stat_name,stat_value,run_id
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,391.0,0
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,695.0,0
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,7.0,0
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,2038.0,0
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,7.0,0
600.perlbench_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,9993.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,391.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,695.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,7.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,2038.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,7.0,0
500.perlbench_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,9993.0,0
619.lbm_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,11.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,107.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,115.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,1.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,104.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,1.0,0
657.xz_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,451.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,107.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,115.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,1.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,104.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,1.0,0
557.xz_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,451.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,105.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,11.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,2.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,126.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,2.0,0
631.deepsjeng_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,186.0,0
605.mcf_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,1.0,0
605.mcf_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,25.0,0
605.mcf_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,75.0,0
505.mcf_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,1.0,0
505.mcf_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,25.0,0
505.mcf_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,75.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,7001.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,3828.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,6.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,10604.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,6.0,0
510.parest_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,42509.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,105.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,11.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNInstr,2.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,126.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNPRE,2.0,0
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,186.0,0
541.leela_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,89.0,0
541.leela_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,99.0,0
541.leela_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,193.0,0
541.leela_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,611.0,0
641.leela_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,89.0,0
641.leela_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNEqProp,99.0,0
641.leela_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNLoad,193.0,0
641.leela_s,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNSimpl,611.0,0
508.namd_r,ns3978931,GVNPRE,1,0,,fast,gvn.NumGVNBlocks,138.0,0
