benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
508.namd_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,1.9748,0,PASS
508.namd_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,23.826900000000002,0,PASS
508.namd_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,998793,0,PASS
510.parest_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,1.9068,0,PASS
510.parest_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,565.6484999999999,0,PASS
510.parest_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,8960577,0,PASS
511.povray_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.1769,0,PASS
511.povray_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,33.47130000000001,0,PASS
511.povray_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,966516,0,PASS
519.lbm_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,1.0174,0,PASS
519.lbm_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,0.4171,0,PASS
519.lbm_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,16787,0,PASS
526.blender_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.0606,0,PASS
526.blender_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,320.29439999999994,0,PASS
526.blender_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,8974136,0,PASS
538.imagick_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.004,0,PASS
538.imagick_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,44.7616,0,PASS
538.imagick_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,1812313,0,PASS
544.nab_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.8803,0,PASS
544.nab_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,4.972399999999999,0,PASS
544.nab_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,205176,0,PASS
997.specrand_fr,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.0019,0,PASS
997.specrand_fr,ns3978931,GVNPRE,1,0,,pbqp,compile_time,0.0925,0,PASS
997.specrand_fr,ns3978931,GVNPRE,1,0,,pbqp,size..text,2310,0,PASS
619.lbm_s,ns3978931,GVNPRE,1,0,,pbqp,exec_time,7.9111,0,PASS
619.lbm_s,ns3978931,GVNPRE,1,0,,pbqp,compile_time,0.42410000000000003,0,PASS
619.lbm_s,ns3978931,GVNPRE,1,0,,pbqp,size..text,16835,0,PASS
996.specrand_fs,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.001,0,PASS
996.specrand_fs,ns3978931,GVNPRE,1,0,,pbqp,compile_time,0.0959,0,PASS
996.specrand_fs,ns3978931,GVNPRE,1,0,,pbqp,size..text,2310,0,PASS
500.perlbench_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,4.3959,0,PASS
500.perlbench_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,50.9863,0,PASS
500.perlbench_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,1709116,0,PASS
502.gcc_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.0021,0,PASS
502.gcc_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,262.4477000000003,0,PASS
502.gcc_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,7009748,0,PASS
505.mcf_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,5.5188,0,PASS
505.mcf_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,1.1058,0,PASS
505.mcf_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,28952,0,PASS
520.omnetpp_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,1.4097,0,PASS
520.omnetpp_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,133.20020000000002,0,PASS
520.omnetpp_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,1286887,0,PASS
523.xalancbmk_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,0.024,0,PASS
523.xalancbmk_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,267.56489999999974,0,PASS
523.xalancbmk_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,2993909,0,PASS
525.x264_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,9.8635,0,PASS
525.x264_r,ns3978931,GVNPRE,1,0,,pbqp,compile_time,16.097500000000004,0,PASS
525.x264_r,ns3978931,GVNPRE,1,0,,pbqp,size..text,556768,0,PASS
531.deepsjeng_r,ns3978931,GVNPRE,1,0,,pbqp,exec_time,4.4574,0,PASS
