benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
500.perlbench_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,448.05269999999996,0,PASS
500.perlbench_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,76.0029,0,PASS
500.perlbench_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,2618342,0,PASS
600.perlbench_s,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,438.2561,0,PASS
600.perlbench_s,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,77.0815,0,PASS
600.perlbench_s,nuno-amd64,NewGVN,1,0,opt,fast,size..text,2618342,0,PASS
525.x264_r,nuno-amd64,NewGVN,1,0,opt,fast,,,,FAIL
625.x264_s,nuno-amd64,NewGVN,1,0,opt,fast,,,,FAIL
510.parest_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,1165.4335,0,PASS
510.parest_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,871.4496999999997,0,PASS
510.parest_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,13804625,0,PASS
619.lbm_s,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,943.9365,0,PASS
619.lbm_s,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,0.6204,0,PASS
619.lbm_s,nuno-amd64,NewGVN,1,0,opt,fast,size..text,19707,0,PASS
605.mcf_s,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,732.7991,0,PASS
605.mcf_s,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,1.7734,0,PASS
605.mcf_s,nuno-amd64,NewGVN,1,0,opt,fast,size..text,46543,0,PASS
505.mcf_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,422.0375,0,PASS
505.mcf_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,1.7224,0,PASS
505.mcf_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,46543,0,PASS
657.xz_s,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,2593.2924000000003,0,PASS
657.xz_s,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,9.823300000000003,0,PASS
657.xz_s,nuno-amd64,NewGVN,1,0,opt,fast,size..text,202882,0,PASS
557.xz_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,422.08299999999997,0,PASS
557.xz_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,10.047600000000001,0,PASS
557.xz_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,202882,0,PASS
631.deepsjeng_s,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,399.4005,0,PASS
631.deepsjeng_s,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,5.026499999999999,0,PASS
631.deepsjeng_s,nuno-amd64,NewGVN,1,0,opt,fast,size..text,116116,0,PASS
531.deepsjeng_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,336.6505,0,PASS
531.deepsjeng_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,5.001599999999999,0,PASS
531.deepsjeng_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,116116,0,PASS
508.namd_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,283.2636,0,PASS
508.namd_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,32.5916,0,PASS
508.namd_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,1318933,0,PASS
541.leela_r,nuno-amd64,NewGVN,1,0,opt,fast,exec_time,443.5879,0,PASS
541.leela_r,nuno-amd64,NewGVN,1,0,opt,fast,compile_time,23.9073,0,PASS
541.leela_r,nuno-amd64,NewGVN,1,0,opt,fast,size..text,194783,0,PASS
