benchmark,machine,variant,regalloc,gvn_time_s,total_opt_time_s,gvn_pct
500.perlbench_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,13.101200,0.00
502.gcc_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,64.578000,0.00
505.mcf_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.300100,0.00
508.namd_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,4.950100,0.00
510.parest_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,94.444800,0.00
511.povray_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005400,6.977000,0.08
519.lbm_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.074400,0.00
520.omnetpp_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,15.804800,0.00
523.xalancbmk_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,43.866100,0.00
525.x264_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005300,3.778800,0.14
526.blender_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005300,90.305900,0.01
531.deepsjeng_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.663400,0.00
538.imagick_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005400,12.101300,0.04
541.leela_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.673600,0.00
544.nab_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.327200,0.00
557.xz_r,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.695800,0.00
600.perlbench_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,13.357000,0.00
602.gcc_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,63.554900,0.00
605.mcf_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.298000,0.00
619.lbm_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.074800,0.00
620.omnetpp_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,16.889300,0.00
623.xalancbmk_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,41.884400,0.00
625.x264_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005400,3.778300,0.14
631.deepsjeng_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.643200,0.00
638.imagick_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.005400,12.162200,0.04
641.leela_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.203100,0.00
644.nab_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.328100,0.00
657.xz_s,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,1.698600,0.00
996.specrand_fs,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.031200,0.00
997.specrand_fr,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.024000,0.00
998.specrand_is,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.023700,0.00
999.specrand_ir,nuno-arm64,GVNPRE-s1-p0-fast,fast,0.000000,0.023900,0.00
500.perlbench_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,15.006400,0.00
502.gcc_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,67.413900,0.00
505.mcf_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.266800,0.00
508.namd_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,6.072500,0.00
510.parest_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,100.690100,0.00
511.povray_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.005300,7.341200,0.07
519.lbm_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.075000,0.00
520.omnetpp_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,15.400400,0.00
523.xalancbmk_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,40.147700,0.00
525.x264_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,4.086900,0.00
526.blender_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.005400,94.945400,0.01
531.deepsjeng_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.636800,0.00
538.imagick_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.005400,13.315200,0.04
541.leela_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,1.204100,0.00
544.nab_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,1.441200,0.00
557.xz_r,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,1.674700,0.00
600.perlbench_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,14.959200,0.00
602.gcc_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,66.909900,0.00
605.mcf_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.268700,0.00
