benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
508.namd_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,4.0074,0,PASS
508.namd_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,13.0404,0,PASS
508.namd_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,810480,0,PASS
510.parest_r,nuno-arm64,NewGVN,1,0,opt,fast,,,,FAIL
511.povray_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.3916,0,PASS
511.povray_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,25.325299999999995,0,PASS
511.povray_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,978460,0,PASS
519.lbm_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,1.0216,0,PASS
519.lbm_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.25830000000000003,0,PASS
519.lbm_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,11312,0,PASS
526.blender_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.1672,0,PASS
526.blender_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,249.16010000000054,0,PASS
526.blender_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,10144056,0,PASS
538.imagick_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0127,0,PASS
538.imagick_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,35.144099999999995,0,PASS
538.imagick_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,1984152,0,PASS
544.nab_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,1.1981,0,PASS
544.nab_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,3.537200000000001,0,PASS
544.nab_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,223564,0,PASS
997.specrand_fr,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0041,0,PASS
997.specrand_fr,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.09770000000000001,0,PASS
997.specrand_fr,nuno-arm64,NewGVN,1,0,opt,fast,size..text,2824,0,PASS
619.lbm_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,7.2532,0,PASS
619.lbm_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.2778,0,PASS
619.lbm_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,11324,0,PASS
996.specrand_fs,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0041,0,PASS
996.specrand_fs,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.1177,0,PASS
996.specrand_fs,nuno-arm64,NewGVN,1,0,opt,fast,size..text,2824,0,PASS
500.perlbench_r,nuno-arm64,NewGVN,1,0,opt,fast,,,,FAIL
502.gcc_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0,0,PASS
502.gcc_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,184.40629999999996,0,PASS
502.gcc_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,9064672,0,PASS
505.mcf_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,8.2479,0,PASS
505.mcf_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,1.0049,0,PASS
505.mcf_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,33516,0,PASS
520.omnetpp_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,2.5242,0,PASS
520.omnetpp_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,93.38300000000001,0,PASS
520.omnetpp_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,1562720,0,PASS
523.xalancbmk_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0741,0,PASS
523.xalancbmk_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,198.46299999999974,0,PASS
523.xalancbmk_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,3641120,0,PASS
525.x264_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,16.996,0,PASS
525.x264_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,10.5743,0,PASS
525.x264_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,604308,0,PASS
531.deepsjeng_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,6.5838,0,PASS
531.deepsjeng_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,2.4578,0,PASS
531.deepsjeng_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,97856,0,PASS
541.leela_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,4.7626,0,PASS
541.leela_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,10.272800000000002,0,PASS
541.leela_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,157932,0,PASS
557.xz_r,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,10.519000000000002,0,PASS
557.xz_r,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,6.037299999999998,0,PASS
557.xz_r,nuno-arm64,NewGVN,1,0,opt,fast,size..text,171328,0,PASS
999.specrand_ir,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0041,0,PASS
999.specrand_ir,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.1189,0,PASS
999.specrand_ir,nuno-arm64,NewGVN,1,0,opt,fast,size..text,2824,0,PASS
600.perlbench_s,nuno-arm64,NewGVN,1,0,opt,fast,,,,FAIL
602.gcc_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0059,0,PASS
602.gcc_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,184.70569999999992,0,PASS
602.gcc_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,9064672,0,PASS
605.mcf_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,8.2243,0,PASS
605.mcf_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.9822000000000001,0,PASS
605.mcf_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,33516,0,PASS
620.omnetpp_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,2.532,0,PASS
620.omnetpp_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,93.49029999999998,0,PASS
620.omnetpp_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,1562720,0,PASS
623.xalancbmk_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0775,0,PASS
623.xalancbmk_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,199.49199999999982,0,PASS
623.xalancbmk_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,3641120,0,PASS
625.x264_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,16.9755,0,PASS
625.x264_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,10.632200000000001,0,PASS
625.x264_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,604308,0,PASS
631.deepsjeng_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,6.7117,0,PASS
631.deepsjeng_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,2.4664999999999995,0,PASS
631.deepsjeng_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,97856,0,PASS
641.leela_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,4.7609,0,PASS
641.leela_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,10.064099999999998,0,PASS
641.leela_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,157932,0,PASS
657.xz_s,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,10.479000000000001,0,PASS
657.xz_s,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,6.145100000000002,0,PASS
657.xz_s,nuno-arm64,NewGVN,1,0,opt,fast,size..text,171328,0,PASS
998.specrand_is,nuno-arm64,NewGVN,1,0,opt,fast,exec_time,0.0042,0,PASS
998.specrand_is,nuno-arm64,NewGVN,1,0,opt,fast,compile_time,0.1053,0,PASS
998.specrand_is,nuno-arm64,NewGVN,1,0,opt,fast,size..text,2824,0,PASS
600.perlbench_s,nuno-arm64,NewGVN,1,0,opt,greedy,exec_time,6.5755,0,PASS
600.perlbench_s,nuno-arm64,NewGVN,1,0,opt,greedy,compile_time,36.0225,0,PASS
