benchmark,machine,gvn_base,simpl,pre,assumption,regalloc,metric,value,run_id,passed
508.namd_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,7.9231,0,PASS
508.namd_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,74.6656,0,PASS
508.namd_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,998841,0,PASS
510.parest_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,6.9044,0,PASS
510.parest_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,1891.5708000000004,0,PASS
510.parest_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,8957761,0,PASS
511.povray_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,0.79,0,PASS
511.povray_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,119.00959999999993,0,PASS
511.povray_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,966516,0,PASS
519.lbm_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,4.2053,0,PASS
519.lbm_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,1.3639,0,PASS
519.lbm_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,16787,0,PASS
526.blender_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,0.2623,0,PASS
526.blender_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,1148.6058999999998,0,PASS
526.blender_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,8973240,0,PASS
538.imagick_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,0.0185,0,PASS
538.imagick_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,171.7016000000001,0,PASS
538.imagick_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,1812185,0,PASS
544.nab_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,3.6162,0,PASS
544.nab_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,15.677000000000001,0,PASS
544.nab_r,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,205176,0,PASS
997.specrand_fr,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,exec_time,0.0098,0,PASS
997.specrand_fr,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,compile_time,0.2662,0,PASS
997.specrand_fr,sobolev.inesc-id.pt,GVNPRE,1,0,,pbqp,size..text,2310,0,PASS
